Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
1061/tcp  open     ftp        Microsoft ftpd
1062/tcp  open     ftp        Microsoft ftpd
1063/tcp  open     ftp        Microsoft ftpd
1064/tcp  open     ftp        Microsoft ftpd
1065/tcp  open     ftp        Microsoft ftpd
1066/tcp  open     ftp        Microsoft ftpd
1067/tcp  open     ftp        Microsoft ftpd
1068/tcp  open     ftp        Microsoft ftpd
1069/tcp  open     ftp        Microsoft ftpd
1070/tcp  open     ftp        Microsoft ftpd
1071/tcp  open     ftp        Microsoft ftpd
1072/tcp  open     ftp        Microsoft ftpd
1073/tcp  open     ftp        Microsoft ftpd
1074/tcp  open     ftp        Microsoft ftpd
1075/tcp  open     ftp        Microsoft ftpd
1076/tcp  open     ftp        Microsoft ftpd
1077/tcp  open     ftp        Microsoft ftpd
1078/tcp  open     ftp        Microsoft ftpd
1079/tcp  open     ftp        Microsoft ftpd
1080/tcp  open     ftp        Microsoft ftpd
1081/tcp  open     ftp        Microsoft ftpd
1082/tcp  open     ftp        Microsoft ftpd
1083/tcp  open     ftp        Microsoft ftpd
1084/tcp  open     ftp        Microsoft ftpd
1085/tcp  open     ftp        Microsoft ftpd
1086/tcp  open     ftp        Microsoft ftpd
1087/tcp  open     ftp        Microsoft ftpd
1088/tcp  open     ftp        Microsoft ftpd
1089/tcp  open     ftp        Microsoft ftpd
1090/tcp  open     ftp        Microsoft ftpd
1091/tcp  open     ftp        Microsoft ftpd
1092/tcp  open     ftp        Microsoft ftpd
1093/tcp  open     ftp        Microsoft ftpd
1094/tcp  open     ftp        Microsoft ftpd
1095/tcp  open     ftp        Microsoft ftpd
1096/tcp  open     ftp        Microsoft ftpd
1097/tcp  open     ftp        Microsoft ftpd
1098/tcp  open     ftp        Microsoft ftpd
1099/tcp  open     ftp        Microsoft ftpd
1100/tcp  open     ftp        Microsoft ftpd
